,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
173,0.2737301826477051,0.059914931629633794,0.005272006988525391,0.0006291374467025489,True,20,4,5,50,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6509740919016017,0.6324694015204602,0.5690677296768112,0.6036233957244767,0.6210590034081188,0.6154387244462938,0.027836181441113675,161,0.9799997020495823,0.9828621547109061,0.9785330404391338,0.9885638386767999,0.9785546641169452,0.9817026799986734,0.0037756226728538097
174,0.47835912704467776,0.045435825963246336,0.008737659454345703,0.00124348565761557,True,20,4,5,100,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6220789782384688,0.6097641467563155,0.5982788631701521,0.6329926325693158,0.6126717164682163,0.6151572674404937,0.011714559955134415,162,0.9900058357183138,0.98572460737223,0.9813836388425078,0.9842802499176295,0.9871087090855981,0.9857006081872559,0.002869562689071679
175,0.845640230178833,0.06014428462728665,0.014236545562744141,0.002363569673699868,True,20,4,5,200,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.7134494467404335,0.6327347139286424,0.5863134625331698,0.6383834518385055,0.5934506456511595,0.6328663441383822,0.045265572573080705,96,0.9871120654953428,0.9842802499176295,0.9799571558034779,0.9899762788217603,0.9899736683995669,0.9862598836875556,0.003794030367775029
176,0.051750564575195314,0.018728102778720956,0.0024398326873779296,0.0003226963047629923,True,20,4,10,10,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10}",0.564140739959381,0.5408524452393346,0.47952979172869453,0.46505245966250985,0.5175491695067657,0.5134249212193371,0.03695983660280722,319,0.9185534082272608,0.8896645377226577,0.9197629720872524,0.92265625,0.9254972268055232,0.9152268789685388,0.013005774304341978
177,0.23420233726501466,0.035648961217965604,0.004961729049682617,0.0007843697030048255,True,20,4,10,50,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.6093884109691801,0.6402613845320331,0.5231631226958185,0.6097641467563155,0.5999490046367919,0.5965052139180278,0.03910831260085889,206,0.9685017586580599,0.9742481432773201,0.9657685102399459,0.9742481432773201,0.9714476167905681,0.9708428344486428,0.0033102090613935787
178,0.5016038894653321,0.061626922973553884,0.008465433120727539,0.0011453394943034116,True,20,4,10,100,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6965810542895782,0.663737157374776,0.5863954716083737,0.6268904600705456,0.5891310536439784,0.6325470393974504,0.04270852477120164,99,0.9842437497716294,0.9772629920371116,0.9756552121896728,0.9828621547109061,0.9799571558034779,0.9799962529025595,0.003242576162267546
179,0.8438712120056152,0.07989217898028407,0.014206647872924805,0.0023853139782971204,True,20,4,10,200,"{'bootstrap': True, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6498764436064656,0.6671905646871329,0.5924114847666656,0.592251970515496,0.5650734396542887,0.6133607806460099,0.038593163784205846,170,0.9899762788217603,0.9799997020495823,0.9785194255160903,0.989987005264705,0.9799744214371121,0.98369136661785,0.005163878985877181
180,0.07189278602600098,0.006198159651360794,0.0024431705474853515,0.0003047855534685771,False,,1,2,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.5474013801823271,0.5819552173492389,0.5415071783578451,0.5931047212222177,0.5574998580847152,0.5642936710392689,0.019963649287047545,227,1.0,1.0,1.0,1.0,1.0,1.0,0.0
181,0.36105499267578123,0.05337662497746043,0.005834007263183593,0.002340060922904639,False,,1,2,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7016464154456233,0.6626040723019054,0.6511619297660798,0.6274204172713119,0.6523113221148034,0.6590288313799448,0.02422868437797461,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
182,0.6861592769622803,0.06051022239706459,0.008188676834106446,0.0014676180349774608,False,,1,2,100,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.661275190853298,0.6842973644861307,0.638592278367959,0.6497685983882067,0.6608367393623731,0.6589540342915935,0.015167004111199523,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
