,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
109,0.1970506191253662,0.017603870217658513,0.0018129825592041015,0.00022950927841622402,0.5,5,10,0.75,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.75}",0.6440611887195306,0.639719787230254,0.6151640840426085,0.725007537924741,0.5550646729957194,0.6358034541825707,0.05474601499253811,109,0.9385613482373659,0.9474851692995734,0.935699880712252,0.9613520932007771,0.9528686858629355,0.9471934354625808,0.009374176180852187
110,0.273891019821167,0.015682426024357203,0.00261383056640625,0.0015178726482752882,0.5,5,10,1.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7362319581448715,0.6583624885438121,0.6613694353744256,0.6268904600705456,0.7012621696741442,0.6768233023615597,0.037946169789402996,86,0.9616246023554915,0.9586993740069971,0.9504341731979388,0.9432422182837986,0.9615024366708553,0.9551005609030163,0.00719574943792093
111,0.7264188766479492,0.009273344725929068,0.0022351741790771484,0.0002963876475303118,0.5,5,50,0.5,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.5}",0.6751629926347488,0.65625,0.5635535401295892,0.5999490046367919,0.747943822980855,0.648571872076397,0.06361308980482717,104,1.0,1.0,0.99140625,1.0,1.0,0.99828125,0.0034374999999999822
112,0.9210748195648193,0.019771006732213697,0.0019390106201171875,0.00010173490349442667,0.5,5,50,0.75,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.75}",0.7705732079322956,0.8117599696745419,0.7426990700526852,0.7600926485178017,0.7786310867104962,0.7727511965775641,0.02291012993718898,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
113,1.3806185722351074,0.13510240269530663,0.002247142791748047,0.0003294769274155276,0.5,5,50,1.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.8110492157232513,0.8003267306650412,0.7600740422694886,0.7880807345826943,0.7846952314974532,0.7888451909475858,0.017148935965538008,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
114,1.4379645824432372,0.17713916987637954,0.0022838592529296877,0.00026782952046337593,0.5,5,100,0.5,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",0.7076718659920611,0.7596751582829295,0.7420653440152393,0.6559347049194393,0.67662747041403,0.7083949087247399,0.0387946597312404,67,0.9985685463414732,0.9971387638065798,1.0,0.9942734225312736,0.9928686286186559,0.9965698722595965,0.002647904750462072
115,2.0301374912261965,0.14521925303196456,0.002295112609863281,4.7220266736376895e-05,0.5,5,100,0.75,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.75}",0.7649943293640248,0.828125,0.7262832566087142,0.7418453079826707,0.7779955099745027,0.7678486807859825,0.03506622308374665,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
116,2.8800916194915773,0.13994919856905738,0.0029538154602050783,4.001553110382132e-05,0.5,5,100,1.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.8136134000070545,0.8634354595734499,0.7779955099745027,0.8114797998174269,0.8182801908083973,0.8169608720361662,0.027280670999931995,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
117,2.7275492668151857,0.18561374161174432,0.0032399177551269533,0.0005658638510462779,0.5,5,200,0.5,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.5}",0.6498137077451323,0.822794067803465,0.7268986466572057,0.6327347139286424,0.7383213396761047,0.7141124951621101,0.06829043182808589,66,0.9942764022352503,1.0,0.9985685463414732,0.9813836388425078,1.0,0.9948457174838463,0.007050452360149687
118,4.125697755813599,0.23471500871490547,0.0033738136291503905,0.00034055132314869424,0.5,5,200,0.75,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.75}",0.829147408832266,0.829147408832266,0.7715115449575384,0.7878836627799027,0.7779955099745027,0.7991371070752952,0.025052006873273323,12,1.0,0.9985689188010128,1.0,1.0,1.0,0.9997137837602026,0.0005724324795948644
