,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
16,0.00017328262329101561,2.4078812885184253e-05,0.0,0.0,0.01,none,lbfgs,"{'C': 0.01, 'penalty': 'none', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.00029129981994628905,0.00011036976734919551,0.0,0.0,0.01,none,liblinear,"{'C': 0.01, 'penalty': 'none', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.00029630661010742186,3.1752628971431596e-05,0.0,0.0,0.01,none,sag,"{'C': 0.01, 'penalty': 'none', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0002341747283935547,6.020027103843973e-05,0.0,0.0,0.01,none,saga,"{'C': 0.01, 'penalty': 'none', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0002984046936035156,6.185197394766866e-05,0.0,0.0,0.1,l1,newton-cg,"{'C': 0.1, 'penalty': 'l1', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.00024423599243164065,5.640231797465713e-05,0.0,0.0,0.1,l1,lbfgs,"{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.004919815063476563,0.00123148039993042,0.0013768672943115234,0.0003456969095287776,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.517284576740244,0.42220280474356553,0.4067015921763028,0.4700424688053412,0.42379461691535,0.44800521187616066,0.04060339200469983,16,0.4665967343205206,0.47510210602375674,0.49787740615653253,0.4782592916045304,0.4834522393646412,0.48025755549399635,0.010371643026533987
23,0.00031948089599609375,5.1873878173585773e-05,0.0,0.0,0.1,l1,sag,"{'C': 0.1, 'penalty': 'l1', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0765829086303711,0.014852454927157876,0.0014664173126220704,0.00024063877149131503,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.4766000376676737,0.41500162466969676,0.3983694001807712,0.4564354645876384,0.4216623008574028,0.43361376559263665,0.028635866057326032,28,0.4405495004321814,0.4680876491928688,0.4883513016087465,0.45950604229099956,0.4839000637447848,0.4680789114539163,0.017277970341661664
25,0.004214763641357422,0.0014267583170153896,0.0011283397674560548,0.0003378079002179561,0.1,l2,newton-cg,"{'C': 0.1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.4996951936780015,0.41079191812887456,0.4193344887896443,0.4711485760244933,0.41504294524314284,0.44320262437283137,0.03573652446602203,18,0.4625869554249292,0.5032347059454324,0.4846513606151136,0.4901143799503553,0.5028943582526155,0.48869635203768924,0.014919922687990653
26,0.005108976364135742,0.00175610422581134,0.001253032684326172,0.0003603828995918468,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.4996951936780015,0.41079191812887456,0.4193344887896443,0.4711485760244933,0.41504294524314284,0.44320262437283137,0.03573652446602203,18,0.4625869554249292,0.5017190783065117,0.4860125529395751,0.4901143799503553,0.5028943582526155,0.48866546497479735,0.014574526970993172
