,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
32,0.03937087059020996,0.0052736354695933135,0.00706024169921875,0.001045868511000957,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.5004675506229855,0.42952668153313617,0.4140711053607331,0.48548919438979216,0.4277075206223069,0.4514524105057907,0.03464940397404679,24,0.5026225346819152,0.5171035330795377,0.5144957554275266,0.5104648767535069,0.526627134255104,0.514262766839518,0.007885693271849901
33,0.053709793090820315,0.0012487786036722063,0.023496723175048827,0.00022124620338393654,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.0,0.0069006555934235415,0.05847053462046861,0.0828078671210825,0.0,0.029635811466994934,0.034444618497027894,84,0.04131549501122744,0.10978000696057542,0.10978000696057542,0.07743201756866308,0.10574873852167095,0.08881125300454247,0.02665179066046015
34,0.05469555854797363,0.0051072816951925285,0.008016681671142578,0.0011021949097539804,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.41957682440204647,0.38062983671795764,0.4319888941900899,0.39210087289301937,0.37906278700398444,0.4006718430414195,0.02135533124293581,42,0.8423840557197956,0.8394698184795851,0.8423291333566721,0.8366220290167413,0.8438720326966508,0.8409354138538889,0.0025852661793430627
35,0.0829857349395752,0.01195851374062224,0.01967453956604004,0.005618394671870773,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.20242957843690204,0.19503501883850258,0.08623964277328079,0.12738223613744948,-0.00946555937784399,0.12032418336165818,0.07794864229042447,73,0.058783647539517314,0.10222694126186238,0.10658720923648325,0.09465716789104588,0.1265300684698433,0.09775700687975042,0.022155692723665143
36,0.03413262367248535,0.002343199922529365,0.00600581169128418,0.00028126697228561185,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.5004675506229855,0.42952668153313617,0.4140711053607331,0.48548919438979216,0.4277075206223069,0.4514524105057907,0.03464940397404679,24,0.5026225346819152,0.5171035330795377,0.5144957554275266,0.5104648767535069,0.526627134255104,0.514262766839518,0.007885693271849901
37,0.07419877052307129,0.012923059819925118,0.0251035213470459,0.0033760203459581415,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.12787165641784667,0.010821716515060677,0.007429838180541992,0.0010581007944991483,0.1,1,poly,"{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}",0.40959505645784977,0.4523517708899695,0.4169489616279958,0.4588732537680524,0.3544304092945183,0.41843989040767715,0.03731632387864419,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,0.08263869285583496,0.014878110090814578,0.015777063369750977,0.000647454322165366,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.12651201921276495,0.14957457067600588,-0.015576399571225837,0.06373386344050547,0.1776744447497713,0.10038369970156436,0.0690887042274325,77,-0.016984194165363047,0.07593496873890444,0.0018203408579722676,-0.011725049326083486,0.07891660655750296,0.025592534532586624,0.042774558847303065
40,0.1153656005859375,0.018444941218628032,0.007336282730102539,0.00010755099892893425,1.0,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.5302083333333333,0.48548919438979216,0.4741364750682446,0.48347689274019673,0.4984447862792268,0.4943511363621587,0.019534135585544427,17,0.526627134255104,0.558719998352738,0.5546753212150223,0.5626887963208895,0.5544172664890893,0.5514257033265686,0.012763561401866103
41,0.07300066947937012,0.02881807769631628,0.024361562728881837,0.007131116616430853,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5053247524772089,0.47790075734072746,0.4532951213167511,0.4674725261357379,0.4541055904999705,0.47161974955407915,0.01915836898253426,23,0.6905472473488096,0.6858054437713883,0.6685375914828102,0.7003581582108886,0.701598400122142,0.6893693681872077,0.011986280536288817
42,0.04052858352661133,0.001736141144177297,0.008641433715820313,0.00017697413972080217,1.0,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.3426241444320965,0.33590861541541456,0.31889831116794976,0.3600783994768054,0.3603749850782236,0.343576891114098,0.015641088361502273,56,0.5805980633555903,0.5988784566951105,0.5690959772565968,0.5945433505536178,0.6404960584552724,0.5967223812632376,0.024284742030084946
43,0.0463597297668457,0.0010553256244966527,0.010645008087158203,0.00011120601107992202,1.0,scale,sigmoid,"{'C': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.383593802967332,0.401773640742616,0.23474745285441959,0.31568169797684364,0.23924479847635519,0.31500827860351327,0.06987783737916715,62,0.2758670630629636,0.2892032488360574,0.3143867112375718,0.3015984213158433,0.3086611254368875,0.2979433139778648,0.013873472519196874
44,0.09649200439453125,0.010093252840670516,0.006020259857177734,0.0006800000389988492,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.5302083333333333,0.48548919438979216,0.4741364750682446,0.48347689274019673,0.4984447862792268,0.4943511363621587,0.019534135585544427,17,0.526627134255104,0.558719998352738,0.5546753212150223,0.5626887963208895,0.5544172664890893,0.5514257033265686,0.012763561401866103
45,0.05535359382629394,0.0067260595014708826,0.020691299438476564,0.0018404526831161004,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.4938480474601814,0.47838201250420626,0.4594012461351134,0.4741364750682446,0.46004370622823615,0.47316229747919636,0.012787170677654988,22,0.6532978107698282,0.6470445884123683,0.6527156465396445,0.6704122648002847,0.6598463543612606,0.6566633329766772,0.007982430285925074
46,0.04619717597961426,0.004114771392405546,0.010561609268188476,0.0013673828159909498,1.0,auto,poly,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.2975021019012254,0.3763579955993851,0.27505193590855836,0.3041934577382001,0.3548989427042511,0.321600886770324,0.0378356348970205,57,0.4754690328765703,0.5035681189597426,0.4859126579037751,0.496970246018513,0.4863095295702224,0.48964591706576466,0.009731662252560665
47,0.05824956893920898,0.006746659766652397,0.013214349746704102,0.002183548618729571,1.0,auto,sigmoid,"{'C': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.4307196567998502,0.3643995192594839,0.25112579936813495,0.38421785609023734,0.3286872021011554,0.3518300067237724,0.0601788486198001,55,0.32395833333333335,0.32701641557863265,0.35412092035707365,0.3457520054262831,0.36206697378043545,0.3425829296951516,0.014913002345617528
48,0.10194573402404786,0.009085015176742733,0.00713052749633789,0.0009848984018665393,1.0,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.5302083333333333,0.48548919438979216,0.4741364750682446,0.48347689274019673,0.4984447862792268,0.4943511363621587,0.019534135585544427,17,0.526627134255104,0.558719998352738,0.5546753212150223,0.5626887963208895,0.5544172664890893,0.5514257033265686,0.012763561401866103
49,0.047528982162475586,0.004997650389610522,0.0184450626373291,0.00036394970242513577,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.48233502060557243,0.44664628743529533,0.4307196567998502,0.41236878165537727,0.37308077328648825,0.42903010395651664,0.03622851338760071,29,0.5445758800806633,0.5375553946546452,0.5574951531770026,0.5558762074094152,0.5433635217613075,0.5477732314166067,0.007671333203021243
50,0.04722452163696289,0.014127972544165718,0.009136247634887695,0.00015717281861660272,1.0,0.01,poly,"{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.1442541110503035,0.13149549909567532,0.08328048276059437,0.06361552378075955,0.13149549909567532,0.11082822315660161,0.03149437903577527,74,0.15603789952109878,0.14116585222331576,0.16705381391691138,0.15885741414097174,0.14582113229055066,0.15378722241856968,0.009268575068898145
51,0.07017645835876465,0.01065850941594123,0.018715667724609374,0.008826022776717436,1.0,0.01,sigmoid,"{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.4763225062694647,0.381752187041546,0.34832394549969725,0.42843384034825677,0.34503277967117707,0.39597305176602837,0.050154400159845486,45,0.40959505645784977,0.42286204019109386,0.44783250859325613,0.4044834663780271,0.44126255639716466,0.42520712560347834,0.01701993533299626
52,0.10093116760253906,0.008410318307091278,0.006780672073364258,0.0008018203535239679,1.0,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.5302083333333333,0.48548919438979216,0.4741364750682446,0.48347689274019673,0.4984447862792268,0.4943511363621587,0.019534135585544427,17,0.526627134255104,0.558719998352738,0.5546753212150223,0.5626887963208895,0.5544172664890893,0.5514257033265686,0.012763561401866103
53,0.06971468925476074,0.009643135385879735,0.0245058536529541,0.0019438711857504294,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.42482160997013685,0.3770799423770545,0.3843999840834385,0.3775941936782119,0.3121692233235878,0.3752129906864859,0.03613609883348176,54,0.9284419889107285,0.9341498974001884,0.9283875277863012,0.9412698648820392,0.9384025238369818,0.9341303605632477,0.005187715932944633
54,0.12097196578979492,0.00608558773934654,0.008439779281616211,0.0009583595581442548,1.0,0.1,poly,"{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.3740446411754255,0.44306431386287126,0.44133132118473206,0.4519788506792427,0.3755461532954145,0.41719305603953727,0.03480884815032185,38,0.9942734225312736,0.9928404921481778,0.9871235140583121,0.9885487036625412,0.9899791866262521,0.9905530638053113,0.002652621478436205
