ParamCombo,Condition,Metric,p_Value,h_Value
P1_D100_N10,EO,Prominence,0.214223428821315,0
P1_5_D150_N10,NDEC,Width,0.216539528153758,0
P0_5_D50_N15,DEC,Width,0.226014472563675,0
P1_D100_N10,EO,Peak Height,0.235684312701757,0
P0_5_D100_N10,EO,Peak Height,0.237695509967413,0
P1_D150_N15,NDEC,Width,0.239431847498078,0
P1_D100_N10,NDEC,Width,0.243693768472604,0
P1_5_D100_N10,NDEC,Width,0.243693768472604,0
P1_5_D50_N10,NDEC,Width,0.263747488918769,0
P1_5_D100_N10,EO,Peak Height,0.271660910338158,0
P1_5_D150_N10,EO,Peak Height,0.276512381408135,0
P1_5_D100_N10,EO,Prominence,0.278952664361721,0
P0_5_D100_N10,NDEC,Width,0.282285240670541,0
P0_5_D150_N10,EO,Peak Height,0.284084334290392,0
P0_5_D100_N10,EC,Width,0.300882464052378,0
P1_D150_N10,EO,Peak Height,0.309203254057056,0
P1_D50_N10,NDEC,Width,0.336821889344942,0
P0_5_D150_N5,NDEC,Width,0.338529019788166,0
P1_D150_N5,NDEC,Width,0.338529019788166,0
P1_5_D150_N5,EO,Width,0.341593561060988,0
P1_D50_N10,DEC,Width,0.344776075837285,0
P1_D150_N15,EC,Width,0.358074848737782,0
P1_5_D150_N15,EC,Width,0.358074848737782,0
P1_5_D100_N10,EC,Width,0.362155722095692,0
P0_5_D150_N5,EO,Width,0.373839224963469,0
P0_5_D50_N10,DEC,Width,0.37749398276604,0
P1_D150_N10,EO,Prominence,0.380689301783941,0
P0_5_D100_N10,EO,Width,0.382367993573448,0
P1_D150_N5,EO,Width,0.385457176965838,0
P1_5_D150_N10,EO,Prominence,0.390381655391389,0
P0_5_D100_N5,EO,Prominence,0.391427280319942,0
P1_5_D100_N5,EO,Peak Height,0.391529444012037,0
P1_D150_N5,EC,Peak Height,0.399800210231455,0
P1_5_D150_N5,EC,Peak Height,0.399800210231455,0
P1_5_D150_N15,NDEC,Width,0.399918154550606,0
P0_5_D150_N10,EO,Prominence,0.40452960053929,0
P0_5_D100_N5,EC,Prominence,0.413204534135258,0
P0_5_D100_N5,EO,Peak Height,0.4153849805488,0
P0_5_D150_N5,EC,Peak Height,0.416716378056726,0
P1_5_D150_N5,NDEC,Width,0.423177101331408,0
P1_D50_N15,DEC,Width,0.433686669492577,0
P1_D100_N10,EC,Width,0.43372913267519,0
P1_5_D100_N5,EO,Prominence,0.434708520443067,0
P1_D150_N5,DEC,Width,0.44367286476418,0
P0_5_D100_N5,EC,Peak Height,0.445073260942731,0
P1_D50_N10,EC,Width,0.445579798380572,0
P1_D100_N10,EO,Width,0.446491244427042,0
P1_D100_N5,EC,Peak Height,0.450627330147205,0
P1_D100_N5,EC,Prominence,0.454469750775192,0
P0_5_D50_N10,EC,Width,0.457356059496311,0
P1_D100_N5,EO,Peak Height,0.463550256356191,0
P1_5_D100_N5,EC,Peak Height,0.467707673889078,0
P0_5_D150_N5,DEC,Width,0.471334051659779,0
P0_5_D100_N15,EO,Width,0.475809853619108,0
P0_5_D100_N5,EC,Width,0.479180384181035,0
P1_5_D100_N15,EC,Width,0.480452778403736,0
P1_5_D100_N5,EC,Prominence,0.483765624787813,0
P1_5_D50_N10,DEC,Width,0.487091059092844,0
P0_5_D100_N5,EO,Width,0.490132922821877,0
P1_5_D50_N5,DEC,Width,0.490146471096855,0
P1_5_D50_N15,DEC,Width,0.490468950531143,0
P1_D100_N5,EO,Prominence,0.495958902029897,0
P1_D100_N10,DEC,Width,0.505648912120952,0
P0_5_D150_N5,EC,Prominence,0.50565850618072,0
P0_5_D150_N15,EC,Width,0.50762872570911,0
P1_5_D50_N15,EC,Width,0.508459462318614,0
P0_5_D150_N10,EC,Width,0.516501418704111,0
P1_D150_N5,EC,Prominence,0.530814064037564,0
P1_5_D150_N5,EC,Prominence,0.530814064037564,0
P1_D100_N5,EC,Width,0.544980898754097,0
P1_5_D100_N10,DEC,Width,0.545199136694634,0
P1_D150_N10,EC,Width,0.549846118857314,0
P1_5_D150_N10,EC,Width,0.549846118857314,0
P0_5_D50_N10,NDEC,Width,0.551164551406031,0
P0_5_D100_N10,DEC,Width,0.568054600078169,0
P1_5_D150_N5,DEC,Width,0.570134686803198,0
P1_5_D50_N10,EC,Width,0.613836896188032,0
P1_D50_N15,EC,Width,0.619537454181785,0
P1_5_D100_N10,EO,Width,0.645998739809716,0
P1_5_D100_N5,EC,Width,0.651638063609646,0
P1_D100_N15,EO,Width,0.667153966887946,0
P1_5_D50_N5,EC,Width,0.681830191629968,0
P0_5_D100_N15,EC,Width,0.697998946997828,0
P1_D100_N15,EC,Width,0.698391424948686,0
P0_5_D50_N5,EC,Width,0.705880884526846,0
P0_5_D150_N5,EC,Width,0.709532540835631,0
P1_D100_N5,NDEC,Width,0.733349897122038,0
P1_5_D100_N5,NDEC,Width,0.733349897122038,0
P0_5_D50_N5,DEC,Width,0.738285512828124,0
P1_D150_N5,EC,Width,0.758735231403595,0
P1_5_D150_N5,EC,Width,0.758735231403595,0
P0_5_D100_N15,DEC,Width,0.768593804188314,0
P1_5_D150_N10,EO,Width,0.781579749723381,0
P1_D100_N15,DEC,Width,0.785645510124713,0
P0_5_D150_N10,EO,Width,0.791901969889172,0
P1_D50_N5,EC,Width,0.801258122138758,0
P0_5_D50_N15,EC,Width,0.801826804686502,0
P0_5_D50_N15,EO,Width,0.804206302241299,0
P1_D150_N10,EO,Width,0.805697345324468,0
P1_D50_N5,DEC,Width,0.813168230359548,0
P0_5_D100_N5,DEC,Width,0.813432229027603,0
P0_5_D150_N5,EO,Peak Height,0.816668497125344,0
P1_D100_N5,DEC,Width,0.817893875091999,0
P1_5_D150_N15,DEC,Width,0.822866805650174,0
P0_5_D50_N5,EO,Width,0.841132819820918,0
P1_D50_N5,EO,Width,0.841132819820918,0
P1_5_D50_N5,EO,Width,0.841132819820918,0
P0_5_D50_N10,EO,Width,0.844735341695535,0
P1_5_D50_N10,EO,Width,0.847438266026999,0
P1_D50_N5,EC,Prominence,0.850317893220181,0
P1_5_D150_N5,EO,Peak Height,0.854229552684522,0
P0_5_D150_N15,DEC,Width,0.858195380664587,0
P1_D100_N5,EO,Width,0.858561986121922,0
P1_5_D100_N15,DEC,Width,0.858767792674339,0
P0_5_D50_N5,EC,Prominence,0.870931708472286,0
P0_5_D50_N5,EC,Peak Height,0.872590095498718,0
P1_D150_N5,EO,Peak Height,0.883325179777616,0
P1_5_D100_N5,EO,Width,0.885228465460312,0
P1_D150_N10,DEC,Width,0.895981898762975,0
P1_D50_N5,EC,Peak Height,0.897475507270471,0
P1_5_D50_N15,EO,Width,0.904908583923617,0
P1_D50_N5,NDEC,Width,0.909299732953038,0
P0_5_D50_N5,NDEC,Width,0.913659579491184,0
P1_D50_N15,EO,Width,0.918776951582409,0
P0_5_D150_N10,DEC,Width,0.923748207159809,0
P1_5_D100_N15,EO,Width,0.931312863180106,0
P1_D150_N15,DEC,Width,0.944581350488392,0
P1_D150_N5,EO,Prominence,0.953124824010042,0
P1_5_D100_N5,DEC,Width,0.96163386978474,0
P1_5_D50_N5,EC,Prominence,0.967187517364926,0
P1_5_D150_N10,DEC,Width,0.969803339410844,0
P1_5_D50_N5,NDEC,Width,0.976246878760014,0
P1_5_D50_N5,EC,Peak Height,0.983419650999687,0
P1_5_D150_N5,EO,Prominence,0.986048976005444,0
P0_5_D100_N5,NDEC,Width,0.994003915111947,0
P1_D50_N10,EO,Width,0.997799621187947,0
P0_5_D150_N5,EO,Prominence,0.998139422383615,0
